id	ZONA	Neighborhood	Street	Start date and time	End date and time	Direction	Reference	Status
1	Zona Leste	Itaim Paulista	AV.DAS PONTES	2019/10/17 17:15	2019/10/17 18:40	AMBOS	R. DANÇAS HUNGARAS	Inativo Intransitável
2	Zona Leste	Itaim Paulista	R. CAPACHOS	2019/10/17 17:15	2019/10/17 18:40	AMBOS	R. ANDRÉ DE GUIMARÃES	Inativo Intransitável
3	Zona Leste	Mooca	AV. SALIM FARAH MALUF	2019/09/03 18:56	2019/09/03 19:02	V.PRUDENTE/MARGINAL	R. DEMETRIO RIBEIRO	Inativo Transitável
4	Centro	Sé	PC. DA. BANDEIRA	2019/09/02 04:35	2019/09/02 05:20	CENTRO/BAIRRO - NÃO INFORMADA	AV. VINTE E TRES DE MAIO	Inativo Transitável
5	Centro	Sé	AV. MERCURIO (SE)	2019/09/02 06:15	2019/09/02 06:59	UNICO - ESQUERDA	PC S VITO	Inativo Transitável
6	Centro	Sé	AV. MERCURIO	2019/09/02 06:27	2019/09/02 06:42	UNICO - ESQUERDA	PC. S. VITO	Inativo Transitável
7	Zona Oeste	Pinheiros	AV. DAS NACOES UNIDAS (ALTO DE PINHEIROS)	2019/09/02 04:26	2019/09/02 07:34	INTERLAGOS/CASTELO - LOCAL	R OLIVIA FEDER	Inativo Transitável
8	Zona Oeste	Pinheiros	R. JAMES HOLLAND	2019/09/02 05:05	2019/09/02 05:45	UNICO - NÃO INFORMADA	R. PDE. LUIS ALVES DE SIQUEIRA	Inativo Transitável
9	Zona Norte TESTE	Casa Verde	MARGINAL TIETE ASCB EXPRESSA (CASA VERDE)	2019/09/01 14:01	2019/09/01 17:47	A SENNA/CASTELO B - EXPRESSA	PTE DA CASA VERDE-JORN.WALTER ABRAHAO	Inativo Transitável
11	Centro	Sé	AV. RIO BRANCO	2019/09/01 14:24	2019/09/02 00:10	UNICO	ALTURA DO NÚMERO 633	Inativo Transitável
12	Zona Leste	Mooca	AV. CRUZEIRO DO SUL	2019/09/01 19:05	2019/09/02 00:10	IPIRANGA/SANTANA	ALTURA DO NÚMERO 400	Inativo Transitável
13	Zona Norte	Santana	MARGINAL TIETE	2019/07/05 00:03	2019/07/05 08:42	A SENNA/CASTELO B - EXP	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
14	Zona Norte	Santana	MARGINAL TIETE	2019/07/05 00:08	2019/07/05 10:51	AS/CB - CENTRAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
15	Centro	Sé	MARGINAL TIETE	2019/07/05 03:17	2019/07/05 08:32	CB/AS - EXP	PTE. DAS. BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
16	Centro	Sé	R. SOLIMOES	2019/07/05 05:41	2019/07/05 10:30	AMBOS	R. CRUZEIRO	Inativo Transitável
17	Centro	Sé	R. DOS. AMERICANOS	2019/07/05 05:41	2019/07/05 10:31	UNICO	R. BRA. DE. PORTO CARREIRO	Inativo Transitável
18	Centro	Sé	MARGINAL TIETE	2019/07/05 06:52	2019/07/05 12:11	CB/AS - CENTRAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
19	Centro	Sé	R. DOS. AMERICANOS	2019/07/05 07:11	2019/07/05 10:30	AMBOS	R. SOLIMOES	Inativo Transitável
20	Centro	Sé	AV. MERCURIO	2019/07/05 07:51	2019/07/05 08:09	BAIRRO/CENTRO	PC. S. VITO	Inativo Transitável
21	Zona Oeste	Butantã	AV. VITAL BRASIL	2019/07/05 07:28	2019/07/05 07:32	BAIRRO/CENTRO	PC. JORGE DE LIMA	Inativo Transitável
22	Zona Oeste	Lapa	AV. CARD SANTIAGO LUIZ COPELLO	2019/07/05 01:43	2019/07/05 11:51	AMBOS	VD MIGUEL MOFARREJ	Inativo Transitável
23	Zona Oeste	Lapa	AV. ENG. ROBERTO ZUCCOLO	2019/07/05 04:14	2019/07/05 12:09	AMBOS	R. PDE. EMILIO MIOTTI	Inativo Transitável
24	Zona Oeste	Lapa	AV. OTAVIANO ALVES DE LIMA	2019/07/05 06:06	2019/07/05 11:19	AS/CB - LOCAL	PTE ATTILIO FONTANA	Inativo Transitável
25	Zona Oeste	Lapa	AV. ENG ROBERTO ZUCCOLO	2019/07/05 06:28	2019/07/05 12:10	AMBOS	AV DR GASTAO VIDIGAL	Inativo Transitável
26	Zona Oeste	Lapa	AV. TORRES DE OLIVEIRA (JAGUARE)	2019/07/05 07:47	2019/07/05 13:57	UNICO	AV JAGUARE	Inativo Transitável
27	Zona Oeste	Lapa	R. EMILIO GOELDI	2019/07/05 09:11	2019/07/05 12:11	BAIRRO/CENTRO	ALTURA DO NÚMERO 182	Inativo Transitável
28	Zona Oeste	Pinheiros	AV. DAS NACOES UNIDAS	2019/07/05 01:42	2019/07/05 15:37	CASTELO/INTERLAGOS - LOCAL	R OLIVIA FEDER	Inativo Transitável
29	Zona Oeste	Pinheiros	R. ESTADOS UNIDOS	2019/07/05 07:09	2019/07/05 07:11	ÚNICO	AL. GABRIEL MONTEIRO DA SILVA	Inativo Transitável
30	Zona Oeste	Pinheiros	R. ESTADOS UNIDOS	2019/07/05 07:53	2019/07/05 10:25	UNICO	R AUGUSTA	Inativo Transitável
31	Zona Oeste	Pinheiros	AV. NOVE DE JULHO	2019/07/05 07:55	2019/07/05 13:56	CENTRO/BAIRRO	ALTURA DO NÚMERO 4254	Inativo Transitável
32	Zona Oeste	Pinheiros	AV. NOVE DE JULHO	2019/07/05 08:02	2019/07/05 13:56	CENTRO/BAIRRO	R ALEMANHA	Inativo Transitável
33	Zona Oeste	Pinheiros	R. TURQUIA	2019/07/05 08:09	2019/07/05 12:53	BAIRRO/CENTRO	AV EUROPA	Inativo Transitável
34	Zona Oeste	Pinheiros	R. COLOMBIA	2019/07/05 08:18	2019/07/05 13:57	BAIRRO/CENTRO	R PERU	Inativo Transitável
35	Zona Oeste	Pinheiros	R. ESTADOS UNIDOS	2019/07/05 08:34	2019/07/05 13:55	UNICO	R COLOMBIA / R BELA CINTRA	Inativo Transitável
36	Zona Leste	Mooca	AV. SALIM FARAH MALUF	2019/07/05 12:24	2019/07/05 16:00	MARGINAL/V PRUDENTE	R DEMETRIO RIBEIRO	Inativo Transitável
37	Zona Sul	Campo Limpo	MARGINAL PINHEIROS	2019/07/05 05:28	2019/07/05 11:23	CB/INT - EXP	PTE DO MORUMBI CAIO POMPEU DE TOLEDO	Inativo Transitável
38	Zona Norte	Casa Verde	MARGINAL TIETE ASCB EXPRESSA (CASA VERDE)	2019/07/04 06:32	2019/07/04 09:25	A SENNA/CASTELO B - EXPRESSA	PTE DO LIMÃO-ADHEMAR F. DA SILVA	Inativo Transitável
39	Zona Norte	Casa Verde	AV. INAJAR DE SOUZA	2019/07/04 07:51	2019/07/04 08:13	LAPA/FREGUESIA	R. EDMUNDO KRUG	Inativo Transitável
40	Zona Norte	Vila Maria/ Vila Guilherme	AV. MORVAN DIAS DE FIGUEIREDO (PENHA)	2019/07/04 06:51	2019/07/04 22:51	A SENNA/CASTELO B - LOCAL	PTE DA VILA GUILHERME C W O BAUMGART	Inativo Transitável
41	Centro	Sé	CV. TREVO DE TRINTA E DOIS (CEBOLÃO)	2019/07/04 06:18	2019/07/04 10:34	TIETE/PINHEIROS - CENTRAL	MARGINAL PINHEIROS	Inativo Transitável
42	Centro	Sé	AV. DO ESTADO (BOM RETIRO)	2019/07/04 08:24	2019/07/04 08:34	SANTANA/IPIRANGA	ALTURA DO NÚMERO 1902	Inativo Transitável
43	Centro	Sé	AV. RIO BRANCO (REPUBLICA)	2019/07/04 14:55	2019/07/04 15:06	BAIRRO/CENTRO	AV DUQ DE CAXIAS	Inativo Transitável
44	Centro	Sé	AV. SEN QUEIROS (REPUBLICA)	2019/07/04 15:01	2019/07/04 15:05	BAIRRO/CENTRO - DIREITA	R FLORENCIO DE ABREU	Inativo Transitável
45	Centro	Sé	R. VINTE E CINCO DE MARCO	2019/07/04 16:13	2019/07/04 16:28	UNICO	ALTURA DO NÚMERO 595	Inativo Transitável
46	Centro	Sé	R. VINTE E CINCO DE MARCO	2019/07/04 16:17	2019/07/04 16:26	UNICO	ALTURA DO NÚMERO 205	Inativo Transitável
47	Centro	Sé	AV. MERCURIO	2019/07/04 17:22	2019/07/04 19:36	AMBOS	PC. S. VITO	Inativo Transitável
48	Centro	Sé	AV. PRES CASTELO BRANCO (BARRA FUNDA)	2019/07/04 22:19	2019/07/04 22:53	CASTELO B/A SENNA - CENTRAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Transitável
49	Centro	Sé	AV. MERCURIO	2019/07/04 23:41	2019/07/05 08:09	UNICO	PC S VITO	Inativo Transitável
50	Centro	Sé	AV. PRES CASTELO BRANCO	2019/07/04 23:48	2019/07/05 12:21	CASTELO B/A SENNA - CENTRAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
51	Centro	Sé	AV. PRES CASTELO BRANCO	2019/07/04 23:48	2019/07/05 12:21	CASTELO B/A SENNA - LOCAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
52	Zona Oeste	Butantã	MARGINAL PINHEIROS CBINT (BUTANTÃ)	2019/07/04 10:00	2019/07/04 10:41	CASTELO/INTERLAGOS	PTE CIDADE UNIVERSIT�?RIA	Inativo Transitável
53	Zona Oeste	Lapa	AV. DR. GASTAO VIDIGAL	2019/07/04 06:21	2019/07/04 08:17	MARGINAL/PINHEIROS	VD. MIGUEL MOFARREJ	Inativo Transitável
54	Zona Oeste	Pinheiros	AV. DAS. NAÇÕES UNIDAS	2019/07/04 08:02	2019/07/04 08:23	INTERLAGOS/CASTELO - LOCAL	R. SUMIDOURO	Inativo Transitável
55	Zona Oeste	Pinheiros	AV. DAS NAÇÕES UNIDAS	2019/07/04 08:30	2019/07/04 08:48	INTERLAGOS/CASTELO - LOCAL	PTE DO MORUMBI CAIO POMPEU DE TOLEDO	Inativo Transitável
56	Zona Leste	Aricanduva/ Vila Formosa	AV. RAGUEB CHOHFI	2019/07/04 12:30	2019/07/04 19:43	S MATEUS/GUAIANASES	R. L�?DIA MARIA	Inativo Transitável
57	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/07/04 13:28	2019/07/04 13:59	ITAQUERA/MARGINAL	AV. DALILA	Inativo Transitável
58	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/07/04 13:28	2019/07/04 14:53	ITAQUERA/MARGINAL - EXPRESSA	R. MANILHA	Inativo Transitável
59	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA (ARICANDUVA)	2019/07/04 15:19	2019/07/04 16:00	ITAQUERA/MARGINAL - EXPRESSA	AV MENDONCA DRUMOND	Inativo Transitável
60	Zona Leste	Itaquera	AV. JACU PÊSSEGO N TRABALHADORES	2019/07/04 12:27	2019/07/04 14:17	A SENNA/MAUA	R. MONTANHAS	Inativo Transitável
61	Zona Leste	Itaquera	AV. JACU PESSEGO N TRABALHADORES (IGUATEMI)	2019/07/04 17:58	2019/07/04 21:42	MAUA/A SENNA	R MONTANHAS	Inativo Transitável
62	Zona Leste	Itaquera	AV. JACU PESSEGO N TRABALHADORES	2019/07/04 23:52	2019/07/05 00:40	MAUA/A SENNA - ÚNICA	R. MONTANHAS	Inativo Transitável
63	Zona Leste	Mooca	AV. ALCÂNTARA MACHADO	2019/07/04 09:24	2019/07/04 13:21	CENTRO/BAIRRO	AV. ALVARO RAMOS	Inativo Transitável
64	Zona Leste	Mooca	AV. CELSO GARCIA (BELEM)	2019/07/04 10:30	2019/07/04 12:09	CENTRO/BAIRRO	R REDENÇÃO	Inativo Transitável
65	Zona Leste	Mooca	AV. CELSO GARCIA (BELEM)	2019/07/04 10:45	2019/07/04 12:08	CENTRO/BAIRRO	R SALDANHA MARINHO	Inativo Transitável
66	Zona Leste	Mooca	AV. SALIM FARAH MALUF	2019/07/04 15:18	2019/07/04 22:50	MARGINAL/V PRUDENTE - EXPRESSA	R. SERRA NEGRA	Inativo Transitável
67	Zona Leste	Mooca	AV. SALIM FARAH MALUF (AGUA RASA)	2019/07/04 15:43	2019/07/04 22:50	MARGINAL/V PRUDENTE - LOCAL	AV REG FEIJO	Inativo Transitável
68	Zona Leste	Mooca	AV. GUILHERME COTCHING	2019/07/04 19:52	2019/07/05 00:39	CENTRO/BAIRRO	R JUVENAL GOMES COIMBRA, 1851	Inativo Transitável
69	Zona Leste	Mooca	AV. GUILHERME COTCHING	2019/07/04 20:23	2019/07/04 20:49	CENTRO/BAIRRO	ALTURA DO NÚMERO 17	Inativo Transitável
70	Zona Leste	Penha	R. DR. LUIZ AYRES	2019/07/04 11:14	2019/07/04 11:20	BAIRRO/CENTRO	R. MACIEL MONTEIRO	Inativo Transitável
71	Zona Leste	Penha	AV. ARICANDUVA	2019/07/04 12:41	2019/07/04 16:03	ITAQUERA/MARGINAL - EXPRESSA	R. IN�?CIO COSTA	Inativo Transitável
72	Zona Sul	Cidade Ademar	ES. DO. ALVARENGA	2019/07/04 08:23	2019/07/04 15:40	BAIRRO/CENTRO	AV. DAS. GAROUPAS	Inativo Transitável
73	Zona Sul	Santo Amaro	AV. DAS NAÇÕES UNIDAS	2019/07/04 07:32	2019/07/04 17:00	INTERLAGOS/CASTELO	PTE JOÃO DIAS	Inativo Transitável
74	Zona Sul	Santo Amaro	AV. DAS. NAÇÕES UNIDAS	2019/07/04 07:56	2019/07/04 08:05	INTERLAGOS/CASTELO	PTE. JOÃO DIAS	Inativo Transitável
75	Zona Sul	Santo Amaro	R. JOAO ALFREDO (SANTO AMARO)	2019/07/04 15:07	2019/07/04 15:35	BAIRRO/CENTRO	PC DOM FRANCISCO DE SOUZA/	Inativo Transitável
76	Zona Sudeste	Ipiranga	ES. DO. ALVARENGA	2019/07/04 11:12	2019/07/04 12:38	BAIRRO/CENTRO	R. BENTO JOSE BORBA	Inativo Transitável
77	Zona Norte	Casa Verde	AV. INAJAR DE SOUZA	2019/06/03 12:01	2019/06/03 12:32	LAPA/FREGUESIA	R. EDMUNDO KRUG	Inativo Transitável
78	Zona Norte	Pirituba/Jaraguá	AV. ELISIO CORDEIRO DE SIQUEIRA	2019/06/03 05:22	2019/06/03 07:57	ÚNICO	PSS. FANDI CHAQUIB KALIL	Inativo Transitável
79	Zona Norte	Pirituba/Jaraguá	AV. RAIMUNDO PEREIRA DE MAGALHAES	2019/06/03 09:44	2019/06/03 10:20	ÚNICO	ALTURA DO NÚMERO 13250	Inativo Transitável
80	Centro	Sé	R. BENTO FREITAS	2019/06/03 07:13	2019/06/03 07:24	ÚNICO	R. AURORA	Inativo Transitável
81	Centro	Sé	R. BENTO FREITAS	2019/06/03 07:17	2019/06/03 07:19	ÚNICO	R. MARQ. DE. ITU	Inativo Transitável
82	Centro	Sé	AV. MERCURIO	2019/06/03 07:32	2019/06/03 07:44	ÚNICO	PC. S. VITO	Inativo Transitável
83	Centro	Sé	AV. S. JOAO	2019/06/03 07:51	2019/06/03 07:55	BAIRRO/CENTRO	AL. NOTHMANN	Inativo Transitável
84	Centro	Sé	AV. PACAEMBU	2019/06/03 07:55	2019/06/03 08:00	MARGINAL/ESTADIO	R. LAVRADIO	Inativo Transitável
85	Zona Oeste	Butantã	PC. JORGE DE LIMA	2019/06/03 09:27	2019/06/03 09:35	BAIRRO/CENTRO	AV. PROF. FRANCISCO MORATO	Inativo Transitável
86	Zona Oeste	Lapa	PC. DR. PEDRO CORAZZA	2019/06/03 06:24	2019/06/03 07:54	BAIRRO/CENTRO	AV. ERMANO MARCHETTI	Inativo Transitável
87	Zona Oeste	Lapa	R. ALBION	2019/06/03 07:03	2019/06/03 07:56	ÚNICO	R. DOMINGOS RODRIGUES	Inativo Transitável
88	Zona Oeste	Pinheiros	AV. DAS NAÇÕES UNIDAS	2019/06/03 05:33	2019/06/03 10:18	INT/CB-LOCAL	R.OLIVIA FEDER	Inativo Transitável
89	Zona Oeste	Pinheiros	R. ESTADOS UNIDOS (JARDIM PAULISTA)	2019/06/03 05:43	2019/06/03 07:44	ÚNICO	R AUGUSTA	Inativo Transitável
90	Zona Oeste	Pinheiros	R ESTADOS UNIDOS	2019/06/03 05:50	2019/06/03 06:03	UNICO	R AUGUSTA	Inativo Transitável
91	Zona Oeste	Pinheiros	AV. DAS NAÇÕES UNIDAS	2019/06/03 05:52	2019/06/03 10:06	INT/CB-LOCAL	AV PRES JUSCELINO KUBITSCHEK	Inativo Transitável
92	Zona Oeste	Pinheiros	MARGINAL PINHEIROS(ALTO DE PINHEIROS)	2019/06/03 06:05	2019/06/03 11:41	INTERLAGOS/CASTELO - EXP	PTE ENG ROBERTO ROSSI ZUCCOLO	Inativo Transitável
93	Zona Oeste	Pinheiros	R. ESTADOS UNIDOS	2019/06/03 06:26	2019/06/03 07:42	ÚNICO	AL. GABRIEL MONTEIRO DA SILVA	Inativo Transitável
94	Zona Oeste	Pinheiros	PT. BERNARDO GOLDFARB	2019/06/03 07:41	2019/06/03 08:14	CENTRO/BAIRRO	R. EUGENIO DE MEDEIROS	Inativo Transitável
95	Zona Oeste	Pinheiros	AV. STO. AMARO	2019/06/03 09:13	2019/06/03 09:28	BAIRRO/CENTRO	R. ELEUTERIO	Inativo Transitável
96	Zona Leste	Itaquera	R. SABBADO D'ANGELO	2019/06/03 10:11	2019/06/03 13:04	AMBOS	AV. PROF. JOAO BATISTA CONTI	Inativo Transitável
97	Zona Leste	Mooca	AV. ALCANTARA MACHADO	2019/06/03 07:09	2019/06/03 13:25	BAIRRO/CENTRO - EXP	R. WANDENKOLK	Inativo Transitável
98	Zona Leste	Mooca	AV. CELSO GARCIA (BELEM)	2019/06/03 08:02	2019/06/03 08:26	CENTRO/BAIRRO	R JOSE DE ALENCAR	Inativo Transitável
99	Zona Leste	Mooca	R. ORIENTE	2019/06/03 08:13	2019/06/03 13:10	ÚNICO	R. MILLER	Inativo Transitável
100	Zona Leste	Mooca	AV. RANGEL PESTANA	2019/06/03 08:17	2019/06/03 13:04	CENTRO/BAIRRO	R. GOMES CARDIM	Inativo Transitável
101	Zona Leste	Mooca	AV. CELSO GARCIA	2019/06/03 08:21	2019/06/03 14:53	CENTRO/BAIRRO	R. JOSE DE ALENCAR	Inativo Transitável
102	Zona Norte	Santana	AV. VINTE E TRES DE MAIO	2019/06/02 07:04	2019/06/03 06:46	ST/AEROPORTO	AV. NOVE DE JULHO	Inativo Transitável
103	Zona Oeste	Pinheiros	PT. BERNARDO GOLDFARB	2019/06/02 14:20	2019/06/02 21:16	CENTRO/BAIRRO	R. EUGENIO DE MEDEIROS	Inativo Transitável
104	Zona Oeste	Pinheiros	PT. BERNARDO GOLDFARB	2019/06/02 20:16	2019/06/03 14:15	CENTRO/BAIRRO	R. EUGENIO DE MEDEIROS	Inativo Transitável
105	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA (ARICANDUVA)	2019/06/02 20:50	2019/06/02 21:15	ITAQUERA/MARGINAL	R MANILHA	Inativo Transitável
106	Zona Leste	Itaquera	AV. JACU PESSEGO N TRABALHADORES	2019/06/02 07:19	2019/06/02 18:10	MAUA/A SENNA	PA. PASCOAL GIANNETTI	Inativo Transitável
107	Zona Leste	Penha	R. DR. LUIZ AYRES	2019/06/02 08:20	2019/06/02 08:40	BAIRRO/CENTRO	R. GALILEU MENON	Inativo Transitável
108	Zona Leste	São Mateus	AV. AFONSO DE SAMPAIO E SOUSA	2019/06/02 20:38	2019/06/02 20:41	BAIRRO/CENTRO	AV. ARICANDUVA	Inativo Transitável
109	Zona Leste	São Mateus	AV. AFONSO DE SAMPAIO E SOUSA (PARQUE DO CARMO)	2019/06/02 20:39	2019/06/02 21:16	CENTRO/BAIRRO	AV ARICANDUVA	Inativo Transitável
110	Zona Sul	Cidade Ademar	AV. CUPECE	2019/06/02 16:20	2019/06/02 21:16	CENTRO/BAIRRO	ALTURA DO NÚMERO 4880	Inativo Transitável
111	Zona Sul	Santo Amaro	AV. DAS. NACOES UNIDAS	2019/06/01 16:54	2019/06/02 02:17	INTERLAGOS/CASTELO	PTE. JOAO DIAS	Inativo Transitável
112	Zona Sul	Santo Amaro	AV. DAS. NACOES UNIDAS	2019/06/01 20:36	2019/06/02 02:19	INTERLAGOS/CASTELO	PTE. JOAO DIAS	Inativo Transitável
113	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/05/19 16:40	2019/05/19 18:17	AMBOS	RUA BAQUIA	Inativo Intransitável
114	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/05/19 16:40	2019/05/19 18:17	CENTRO/BAIRRO	JULIO COLAÇO	Inativo Intransitável
115	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/05/19 16:40	2019/05/19 17:52	AMBOS	AV.ITAQUERA	Inativo Intransitável
116	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2019/05/19 16:50	2019/05/19 19:25	CENTRO/BAIRRO	TUMUCUMAQUE	Inativo Intransitável
117	Zona Leste	Mooca	AV. ARICANDUVA	2019/05/19 16:50	2019/05/19 19:25	CENTRO/BAIRRO	MANILHA	Inativo Intransitável
118	Zona Norte	Casa Verde	AV. ANTONIO MUNHOZ BONILHA	2019/05/05 18:33	2019/05/05 18:38	BAIRRO/CENTRO	AV NSRA DO O	Inativo Intransitável
119	Zona Norte	Casa Verde	MARGINAL TIETE ASCB EXPRESSA	2019/05/05 18:47	2019/05/05 19:25	A SENNA/CASTELO B - EXPRESSA	PTE DO LIMAO-ADHEMAR F. DA SILVA	Inativo Transitável
120	Zona Norte	Casa Verde	MARGINAL TIETE ASCB CENTRAL	2019/05/05 19:57	2019/05/05 21:12	A SENNA/CASTELO B - CENTRAL	PTE. DA. CASA VERDE-JORN.WALTER ABRAHAO	Inativo Transitável
121	Zona Oeste	Lapa	PC. PASCOAL MARTINS	2019/05/05 18:38	2019/05/05 19:18	BAIRRO/CENTRO	AV MARQ DE SAO VICENTE	Inativo Transitável
122	Centro	Sé	AV. MERCURIO	2019/04/29 04:38	2019/04/29 04:47	ÚNICO	PC. S. VITO	Inativo Transitável
123	Centro	Sé	TN ANHANGABAU	2019/04/28 18:28	2019/04/28 19:24	AER/ST	EMBOQUE SUL	Inativo Transitável
124	Zona Oeste	Lapa	R. MONTE PASCAL	2019/04/28 17:55	2019/04/28 19:48	AMBOS	AV. ERNESTO IGEL	Inativo Transitável
125	Zona Oeste	Pinheiros	AV. DAS NACOES UNIDAS	2019/04/28 20:19	2019/04/28 21:16	INTERLAGOS/CASTELO - LOCAL	R OLIVIA FEDER	Inativo Transitável
126	Zona Sul	Santo Amaro	AV. INTERLAGOS	2019/04/28 18:05	2019/04/28 21:18	AMBOS	AV YERVANT KISSAJIKIAN	Inativo Transitável
127	Zona Sul	Santo Amaro	AV. DAS NACOES UNIDAS	2019/04/28 20:48	2019/04/28 21:14	INTERLAGOS/CASTELO - LOCAL	AV JOAO DIAS	Inativo Transitável
128	Zona Norte	Casa Verde	MARGINAL TIETE	2019/04/26 15:21	2019/04/26 17:10	A SENNA/CASTELO B - EXP	PTE DA CASA VERDE-JORN.WALTER ABRAHAO	Inativo Transitável
129	Centro	Sé	VINTE E CINCO DE MARÇO	2019/04/26 15:53	2019/04/26 19:00	CENTRO/BAIRRO	LADEIRA PORTO GERAL	Inativo Transitável
130	Centro	Sé	R. GLICÉRIO	2019/04/26 16:01	2019/04/26 16:52	ÚNICO - ÚNICA	R. S. PAULO	Inativo Transitável
131	Centro	Sé	R. S PAULO	2019/04/26 16:11	2019/04/26 16:34	AMBOS	R TEIXEIRA LEITE	Inativo Transitável
132	Centro	Sé	AV. MERCÚRIO	2019/04/26 16:15	2019/04/26 19:00	BAIRRO/CENTRO	PRAÇA SÃO VITO	Inativo Transitável
133	Centro	Sé	R. DA CANTAREIRA	2019/04/26 16:27	2019/04/26 19:20	ÚNICO	R COMEN AFONSO KHERLAKIAN	Inativo Transitável
134	Centro	Sé	AV. RIO BRANCO	2019/04/26 16:32	2019/04/26 17:25	BAIRRO/CENTRO	R GAL OSÓRIO	Inativo Transitável
135	Centro	Sé	AV. MERCÚRIO	2019/04/26 16:46	2019/04/26 16:47	ÚNICO	PC. S. VITO	Inativo Transitável
136	Centro	Sé	AV. MERCÚRIO	2019/04/26 16:50	2019/04/26 17:25	ÚNICO	R. DA. CANTAREIRA	Inativo Transitável
137	Zona Oeste	Lapa	MARGINAL TIETE	2019/04/26 15:34	2019/04/26 15:59	CASTELO B/A SENNA - EXP	PTE DO LIMAO-ADHEMAR F. DA SILVA	Inativo Transitável
138	Zona Leste	Mooca	AV. ALCANTARA MACHADO	2019/04/26 16:39	2019/04/26 18:20	AMBOS	ALTURA DO NÚMERO 200	Inativo Transitável
139	Zona Leste	Mooca	AV. CELSO GARCIA	2019/04/26 16:46	2019/04/26 17:25	CENTRO/BAIRRO	R SALDANHA MARINHO	Inativo Transitável
140	Zona Sudeste	Vila Mariana	AV. VINTE E TRES DE MAIO	2019/04/26 16:25	2019/04/26 16:55	SANTANA/AEROPORTO - AMBAS	VD GAL EUCLIDES DE FIGUEIREDO	Inativo Transitável
141	Zona Sudeste	Vila Mariana	AV. VINTE E TRES DE MAIO	2019/04/26 16:32	2019/04/26 16:57	AEROPORTO/SANTANA - AMBAS	VD GAL EUCLIDES DE FIGUEIREDO	Inativo Transitável
142	Centro	Sé	R. BR. DE. DUPRAT	2019/04/25 07:27	2019/04/25 07:40	ÚNICO	AV. SEN. QUEIROS	Inativo Transitável
143	Centro	Sé	AV. SEN. QUEIROS	2019/04/23 18:03	2019/04/23 18:16	ÚNICO	R. BR. DE. DUPRAT	Inativo Transitável
144	Centro	Sé	R. BR. DE. DUPRAT	2019/04/22 08:20	2019/04/22 10:20	UNICO	AV. SEN. QUEIROS	Inativo Transitável
145	Zona Norte	Santana	R. DARZAN	2019/04/16 20:18	2019/04/16 20:32	BAIRRO/CENTRO	AV. CRUZEIRO DO SUL	Inativo Transitável
146	Centro	Sé	AV. SEN. QUEIROS	2019/04/16 10:52	2019/04/16 11:03	ÚNICO	R. BR. DE. DUPRAT	Inativo Transitável
147	Zona Oeste	Lapa	MARGINAL TIETE	2019/04/14 10:10	2019/04/14 11:17	CASTELO B/A SENNA - EXP	PTE. DO. LIMAO-ADHEMAR F. DA SILVA	Inativo Transitável
148	Zona Oeste	Lapa	MARGINAL TIETE	2019/04/14 11:31	2019/04/14 12:00	CASTELO B/A SENNA - CENTRAL	PTE. JULIO DE MESQUITA NETO	Inativo Transitável
149	Zona Leste	Mooca	MARGINAL TIETE	2019/04/14 09:52	2019/04/14 11:18	CASTELO B/A SENNA - CENTRAL	PTE. PRES. JANIO QUADROS	Inativo Transitável
150	Zona Leste	Mooca	AV. ALCANTARA MACHADO	2019/04/14 16:16	2019/04/14 21:09	CENTRO/BAIRRO	R. ANDRE DE LEAO	Inativo Transitável
151	Zona Sul	Santo Amaro	AV. DAS. NACOES UNIDAS	2019/04/14 11:49	2019/04/14 13:38	INTERLAGOS/CASTELO - LOCAL	PTE. JOAO DIAS	Inativo Transitável
152	Centro	Sé	R. AMARAL GURGEL	2019/04/11 08:18	2019/04/11 08:46	CENTRO/BAIRRO	R. STA. ISABEL	Inativo Transitável
153	Zona Oeste	Lapa	AV. DR. GASTAO VIDIGAL	2019/04/10 06:58	2019/04/10 07:00	MARGINAL/PINHEIROS	ALTURA DO NÚMERO 1595	Inativo Transitável
154	Zona Leste	São Miguel Paulista	AV. BRAS DA ROCHA CARDOSO	2019/04/10 09:34	2019/04/10 16:49	AMBOS	ALTURA DO NÚMERO 505	Inativo Intransitável
