id	ZONA	Neighborhood	Street	Start date and time	End date and time	Direction	Reference	Status
10620	Zona Leste	Aricanduva/ Vila Formosa	VEL. PRES. ARTHUR DA COSTA E SILVA	2009/02/23 17:19	2009/02/23 19:52	LAPA / PENHA	Referência não informada no site	Inativo Transitável
10621	Zona Leste	Aricanduva/ Vila Formosa	RUA EMILE ZOLA 218	2009/02/23 17:20	2009/02/24 02:42		NÚMERO: 600	Inativo Transitável
10622	Zona Leste	Aricanduva/ Vila Formosa	RUA IEMANJ�?	2009/02/23 17:54	2009/02/24 02:42		Referência não informada no site	Inativo Transitável
10623	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2009/02/23 18:03	2009/02/23 21:01	Ambos	AV DOS LATINOS	Inativo Transitável
10624	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2009/02/23 21:08	2009/02/24 03:58	MARG / IMIG	R. Santo Isidoro	Inativo Transitável
10625	Zona Leste	Aricanduva/ Vila Formosa	AV. ARICANDUVA	2009/02/23 21:14	2009/02/24 05:10	o Iraque / MARG	R. SEBASTIÃO DE ANDRADE	Inativo Transitável
10626	Zona Leste	Aricanduva/ Vila Formosa	ACESSO (CAR) X AV. DALILA	2009/02/23 21:24	2009/02/24 02:41	o Iraque / MARG	EST ACESSO (CAR) / AV DALILA SP	Inativo Transitável
10627	Zona Leste	Mooca	AV. S	2009/02/23 15:58	2009/02/23 16:55	Ambos	AV. VER. ABEL FERREIRA	Inativo Transitável
10628	Zona Leste	Mooca	R. DIANÓPOLIS	2009/02/23 17:14	2009/02/23 18:08	ALTURA DO N º 1996	PISTA LOCAL	Inativo Transitável
10629	Zona Leste	Penha	AV. ARICANDUVA	2009/02/23 15:53	2009/02/23 17:58	Ambos	AV. ITAQUERA	Inativo Transitável
10630	Zona Leste	Penha	AV. ARICANDUVA X AV. ITAQUERA	2009/02/23 17:01	2009/02/24 02:40	o Iraque / MARG	ENTRE AV. ITAQUERA E R. JULIO COLACO	Inativo Transitável
10631	Zona Leste	Penha	AV. ARICANDUVA	2009/02/23 21:11	2009/02/24 03:57	o Iraque / MARG	AV. ITAQUERA	Inativo Transitável
10632	Zona Leste	Vila Prudente	AV. PROF. Luiz Ignácio Anh	2009/02/23 15:39	2009/02/23 19:09	Ambos	R. AMPARO	Inativo Transitável
10633	Zona Norte	Santana	AV. Ol	2009/02/16 06:37	2009/02/16 19:24	CV / ST	ALTURA DO N. 1400 (oposto)	Inativo Transitável
10634	Zona Oeste	Pinheiros	AV. JOÃO DIAS	2009/02/16 06:04	2009/02/16 15:04	INT / CB	AV. JOÃO DORIA	Inativo Transitável
10635	Zona Oeste	Pinheiros	RUA CHAFIK MALUF	2009/02/16 06:12	2009/02/16 13:27	AMBOS	RUA DR. JOSÉ AUREO BUSTAMANTE	Inativo Transitável
10636	Zona Oeste	Pinheiros	MARGINAL PINHEIROS	2009/02/16 06:25	2009/02/16 12:20	CB / INT - EXP	AV. Jorn. Roberto Marinho (Pte. ESTAIADA)	Inativo Transitável
10637	Zona Oeste	Pinheiros	MARGINAL PINHEIROS	2009/02/16 06:27	2009/02/16 14:54	CB / INT - EXP	PTE. MORUMBI - 200M ANTES	Inativo Transitável
10638	Zona Leste	Mooca	AV. Celso G	2009/02/16 03:36	2009/02/16 19:24	C / B	RUA JOSÉ ALENCAR	Inativo Transitável
10639	Zona Leste	Mooca	AV. Celso G	2009/02/16 07:36	2009/02/16 15:14	C / B	RUA DO HIPODROMO	Inativo Transitável
10640	Zona Sul	Santo Amaro	AV. Guido C	2009/02/16 06:29	2009/02/16 15:47	CB / INT	PTE. Transamérica - 200M ANTES	Inativo Transitável
10641	Zona Sul	Santo Amaro	MARGINAL PINHEIROS	2009/02/16 06:30	2009/02/16 10:32	INT / CB - LOCAL	AV. JOÃO DIAS - 50M ANTES	Inativo Transitável
10642	Zona Norte	Casa Verde	VIADUTO ANTARTICA	2009/02/15 21:39	2009/02/16 02:32	Sumaré / LIMÃO	PRAÇA LUIS CARLOS DE MESQUITA	Inativo Transitável
